dataset_id,status,source,rows,columns,path
elections-europeennes-2009,OK,downloaded,850,42,data\raw\elections-europeennes-2009.parquet
elections-europeennes-2014,OK,downloaded,870,49,data\raw\elections-europeennes-2014.parquet
elections-europeennes-2019,OK,downloaded,896,52,data\raw\elections-europeennes-2019.parquet
elections-europeennes-2024,OK,downloaded,902,59,data\raw\elections-europeennes-2024.parquet
elections-legislatives-2025-1ertour,OK,downloaded,54,33,data\raw\elections-legislatives-2025-1ertour.parquet
elections-presidentielles-2007-1ertour,OK,downloaded,837,27,data\raw\elections-presidentielles-2007-1ertour.parquet
elections-presidentielles-2007-2emetour,OK,downloaded,837,17,data\raw\elections-presidentielles-2007-2emetour.parquet
elections-presidentielles-2012-1ertour,OK,downloaded,869,27,data\raw\elections-presidentielles-2012-1ertour.parquet
elections-presidentielles-2012-2emetour,OK,downloaded,869,19,data\raw\elections-presidentielles-2012-2emetour.parquet
elections-presidentielles-2017-1ertour,OK,downloaded,896,29,data\raw\elections-presidentielles-2017-1ertour.parquet
elections-presidentielles-2017-2emetour,OK,downloaded,896,20,data\raw\elections-presidentielles-2017-2emetour.parquet
elections-presidentielles-2022-2emetour,OK,downloaded,899,27,data\raw\elections-presidentielles-2022-2emetour.parquet
elections-regionales-2010-1ertour,OK,downloaded,850,27,data\raw\elections-regionales-2010-1ertour.parquet
elections-regionales-2010-2emetour,OK,downloaded,850,17,data\raw\elections-regionales-2010-2emetour.parquet
elections-regionales-2015-1ertour,OK,downloaded,869,31,data\raw\elections-regionales-2015-1ertour.parquet
elections-regionales-2015-2emetour,OK,downloaded,869,21,data\raw\elections-regionales-2015-2emetour.parquet
elections-regionales-2021-1ertour,OK,downloaded,898,29,data\raw\elections-regionales-2021-1ertour.parquet
elections-regionales-2021-2emetour,OK,downloaded,898,22,data\raw\elections-regionales-2021-2emetour.parquet
